,song_id,song,singer,album
0,1449406576,温泉,许嵩,《温泉》
1,167876,有何不可,许嵩,《自定义》
2,167827,素颜,许嵩,《素颜》
3,411214279,雅俗共赏,许嵩,《青年晚报》
4,27646687,玫瑰花的葬礼,许嵩,《许嵩单曲集》
5,167870,如果当时,许嵩,《自定义》
6,167882,清明雨上,许嵩,《自定义》
7,167655,幻听,许嵩,《梦游计》
8,167850,庐州月,许嵩,《寻雾启示》
9,28854182,惊鸿一面,许嵩,《不如吃茶去》
10,167937,断桥残雪,许嵩,《断桥残雪》
11,167873,多余的解释,许嵩,《自定义》
12,167844,灰色头像,许嵩,《寻雾启示》
13,167732,千百度,许嵩,《苏格拉没有底》
14,167691,天龙八部之宿敌,许嵩,《天龙八部之宿敌》
15,167885,城府,许嵩,《自定义》
16,167744,半城烟沙,许嵩,《半城烟沙》
17,167705,想象之中,许嵩,《苏格拉没有底》
18,5255987,你若成风,许嵩,《乐酷》
19,167888,认错,许嵩,《自定义》
20,28802028,山水之间,许嵩,《不如吃茶去》
21,167841,叹服,许嵩,《寻雾启示》
22,167712,拆东墙,许嵩,《苏格拉没有底》
23,402073807,燕归巢,许嵩,《青年晚报》
24,167679,全球变冷,许嵩,《梦游计》
25,167903,我想牵着你的手,许嵩,《我想牵着你的手》
26,167786,南山忆,许嵩,《半城烟沙》
27,167815,情侣装,许嵩,《情侣装》
28,167715,医生,许嵩,《苏格拉没有底》
29,412902950,最佳歌手,许嵩,《青年晚报》
